Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Multifuncional Epson EcoTank M2120, Blanco y Negro, Inyección, Tanque de Tinta, Inalámbrico,  Print/Scan/Copy",C11CJ18301,"$5,681.00","$5,079.00",$139.00,3
"Cartucho Canon PG-140XXL Negro, 600 Páginas",5198B001AA,"$1,199.00",$729.00,$99.00,30
"Teclado Logitech K380, Inalámbrico, Bluetooth, Blanco (Español)",920-009595,$840.00,$729.00,$99.00,13
"Game Factor Audífonos Gamer HSG500, Alámbrico, 1.5 Metros, 3.5mm, Negro",HSG500,$502.00,$384.00,$99.00,8
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Lila",981-000889,"$2,957.00","$2,619.00",$99.00,9
"TP-Link Cable Extensión de Baja Pérdida para Antenas, 12 Metros, Negro",TL-ANT24EC12N,$657.00,$225.00,$159.00,9
"Game Factor Silla Gamer CGC600 V2, hasta 150Kg, Negro/Rojo",CGC600V2/RD,"$3,846.00","$3,409.00",$319.00,5
"SSD SanDisk Plus, 240GB, SATA III, 2.5'', 7mm",DSSDA-240G-G26,$889.00,$729.00,$99.00,8
"Logitech Sistema de Bocinas con Subwoofer Z607, Bluetooth, Alámbrico, 5.1, 80W RMS, USB, Negro",980-001315,"$2,534.00","$2,149.00",$149.00,¡1
"Tarjeta de Video ASUS NVIDIA GeForce RTX 3060 V2 Phoenix OC, 12GB 192-bit GDDR6, PCI Express 4.0",PH-RTX3060-12G-V2,"$7,437.00","$5,479.00",$99.00,34
"Memoria Flash Adata Premier Pro, 512GB MicroSDXC UHS-I Clase 10, con Adaptador",AUSDX512GUI3V30SA2-RA1,"$1,089.00",$799.00,$99.00,36
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Azul",981-000942,"$2,939.00","$2,599.00",$99.00,5
"Mouse Microsoft Óptico Ergonomic, Inalámbrico, Bluetooth, Rosa",222-00035,$769.00,$559.00,$99.00,3
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$870.00,$639.00,$99.00,892
"TP-Link Cable de Extensión de Baja Pérdida para Antenas, 6 Metros, Negro",TL-ANT24EC6N,$411.00,$250.00,$99.00,16
"Tarjeta de Video ASUS NVIDIA GeForce GT 730 Low Profile, 2GB 64-bit GDDR5, PCI Express 2.0",90YV06N2-M0NA00,"$1,696.00","$1,369.00",$99.00,11
